name,f0_
qiskit-optimization,2024-02-28 02:53:21.451618 UTC
qiskit-superstaq,2024-03-07 23:44:48.871454 UTC
qtensor,2021-07-06 15:01:08.534781 UTC
qhal,2022-12-07 12:24:09.787000 UTC
qasm2image,2018-10-09 14:24:06.716686 UTC
mqt.predictor,2023-06-15 11:06:37.746616 UTC
U-Cincy-quantum-tools,2022-10-27 20:17:53.780465 UTC
qonic,2023-01-29 18:10:08.714851 UTC
quantum-isl,2022-09-07 06:41:51.310835 UTC
qiskit-iqm-unstable,2023-07-14 07:33:28.388248 UTC
atomqc,2022-02-26 15:39:04.156911 UTC
jijmodeling-transpiler-quantum-qiskit,2023-07-18 13:44:36.878950 UTC
plaquette,2023-12-12 17:01:07.006664 UTC
dense-ev,2023-05-21 23:33:32.052544 UTC
qwgc,2020-02-08 11:15:10.415403 UTC
quantpiler,2023-12-23 20:49:52.579740 UTC
qiskit-debugger,2023-07-06 03:38:24.231530 UTC
symmer,2023-09-07 14:58:09.564551 UTC
ocelot-quantum,2019-09-18 03:49:02.062897 UTC
spheres,2021-01-21 18:56:56.930543 UTC
eggdriver,2021-09-16 04:46:45.133264 UTC
gaqqie-door,2022-02-27 20:58:42.018864 UTC
abrax,2023-10-08 23:52:36.119459 UTC
quantum-vqe,2023-11-03 22:12:02.449012 UTC
dc-quantum-scheduling,2022-10-31 19:46:34.255534 UTC
qoin,2024-03-04 12:05:21.136638 UTC
pqca,2023-03-16 08:35:15.740294 UTC
qunix-tools,2021-02-24 12:37:58.520639 UTC
qiskit-aer-gpu-cu11,2024-02-08 06:28:37.198515 UTC
qiskit-algorithms,2024-02-19 12:07:56.030949 UTC
pyqbench,2023-04-25 19:22:15.852032 UTC
quantastica-qiskit-forest,2022-10-19 12:54:42.538635 UTC
qiskit-aer-gpu,2024-02-08 06:33:11.717081 UTC
quantum-dice,2019-04-13 16:34:23.116721 UTC
qiskit-qir-alice-bob-fork,2023-11-03 15:40:56.234795 UTC
qiskit-classroom,2023-10-15 09:29:02.044702 UTC
qiskit-ibm-runtime,2024-03-06 19:13:00.000253 UTC
c2qa-qiskit,2022-07-20 16:03:22.596993 UTC
perceval-quandela,2024-02-19 09:58:25.232591 UTC
qiskit-aer,2024-02-06 22:10:54.283872 UTC
mpqp,2024-02-27 13:12:54.973103 UTC
quantumics,2020-01-14 20:49:04.077837 UTC
quantumcat,2021-08-13 11:29:36.978861 UTC
qympy,2023-01-13 10:17:09.967489 UTC
openqemist,2020-02-06 22:38:17.310787 UTC
cVQE,2021-01-23 22:16:03.566680 UTC
classiq,2021-08-26 14:35:40.225486 UTC
quantum-gates,2024-02-08 20:50:16.092444 UTC
diskit,2023-03-22 14:40:23.897450 UTC
qrisp,2024-02-16 13:07:52.512138 UTC
pytket,2019-05-17 10:21:58.912172 UTC
ezQpy,2023-04-19 15:56:39.460353 UTC
quao,2024-02-28 08:58:02.148678 UTC
quantum-serverless,2024-01-31 16:28:00.105319 UTC
parityos,2024-02-22 16:13:37.180798 UTC
bqskit,2023-03-21 01:12:02.154426 UTC
qiskit-ionq,2024-02-29 19:06:40.063108 UTC
qiskit-qubit-reuse,2024-02-05 16:17:23.493392 UTC
qiskit-symbolic,2023-02-04 15:01:14.340488 UTC
py2QAN,2022-04-11 14:49:20.061294 UTC
qiskit-han,2023-07-11 10:06:00.787221 UTC
qiskit-qcgpu-provider,2018-12-24 21:37:31.362737 UTC
qham,2024-02-28 12:12:16.611794 UTC
qprof-qiskit,2021-01-17 18:17:39.040333 UTC
oqi,2021-02-11 20:21:49.165277 UTC
quantum-tree,2024-01-14 13:55:06.702825 UTC
quantum-linear-systems,2023-11-28 17:10:27.759038 UTC
qbraid,2024-03-12 23:57:43.918718 UTC
HQGA,2023-05-22 21:28:16.974051 UTC
amplify.qaoa,2023-11-21 05:44:08.236970 UTC
qnas,2022-05-25 09:45:37.900953 UTC
qiea,2020-05-02 02:14:11.109964 UTC
qutip-qip,2023-07-19 13:12:11.185100 UTC
openqaoa,2023-04-21 10:55:34.119101 UTC
shor,2021-02-09 03:42:07.630800 UTC
kishu,2024-02-11 21:32:16.440791 UTC
qfast-uq,2020-10-09 17:34:46.827885 UTC
multiprogramming,2021-02-10 18:59:54.855626 UTC
qmatchatea,2024-01-16 18:26:19.037888 UTC
queasars,2023-11-07 15:16:00.216422 UTC
planqk-quantum,2024-03-06 10:13:10.530743 UTC
qrem,2024-01-20 15:53:50.009534 UTC
acquantum-qiskit,2019-02-28 08:18:25.079302 UTC
dc-qiskit-qml,2019-10-12 12:48:06.646784 UTC
cqt-rng,2022-08-23 20:03:09.432376 UTC
Qcover,2023-11-21 05:45:35.252257 UTC
QREM,2022-01-11 20:10:21.192462 UTC
quito-gpu,2023-02-09 20:57:10.162329 UTC
qusbt-gpu,2023-03-28 08:04:24.940358 UTC
quri-parts-qiskit,2024-01-30 02:48:15.031456 UTC
quantumaudio,2023-01-07 16:27:53.427528 UTC
MatrixBabou,2021-08-06 03:30:50.106890 UTC
strangeworks-hybrid-optimize,2023-11-29 15:16:52.129910 UTC
torchquantum,2024-02-21 19:31:17.911923 UTC
qrand,2021-05-27 17:42:16.568706 UTC
myqlm-interop,2024-02-05 21:19:13.694760 UTC
quantum-xyz,2024-02-11 05:25:08.724686 UTC
qiskit-nature,2024-02-23 10:20:44.884597 UTC
sqwalk,2021-09-01 08:34:59.034633 UTC
qfaas,2022-09-27 07:34:00.321146 UTC
sbovqaopt,2022-09-08 18:37:48.166925 UTC
arline-benchmarks,2020-06-16 15:25:08.247677 UTC
qoqo-qiskit,2024-02-29 15:10:30.003774 UTC
quantpy,2019-07-31 11:33:32.775140 UTC
azure-quantum,2024-03-12 21:48:46.692625 UTC
quantagonia-api-client,2024-03-12 20:03:56.023862 UTC
tspq0,2023-01-19 10:58:24.202186 UTC
nateve-adam,2022-01-10 20:47:31.895104 UTC
qiskit-machine-learning,2024-02-29 16:41:36.008063 UTC
sabreMapper,2023-04-14 11:53:33.868900 UTC
qaoalib,2023-12-22 05:13:37.428974 UTC
qoqo-qiskit-devices,2024-02-29 15:33:51.602621 UTC
qiskit-alice-bob-provider,2024-03-06 14:10:12.060862 UTC
qcompute-qep,2023-03-24 06:31:06.651349 UTC
quantumsymmetry,2023-12-07 03:47:52.586649 UTC
QAOAKit,2022-04-20 21:20:47.970872 UTC
qiskit-scheduling-extension,2023-10-17 11:22:36.773368 UTC
qiskit-qir,2024-03-05 20:47:56.953758 UTC
qfast,2020-10-09 17:33:35.290786 UTC
cirq-dev,2019-10-29 23:45:38.223057 UTC
openqaoa-qiskit,2023-12-20 15:41:10.979026 UTC
amin-qvm,2023-07-17 10:27:09.670494 UTC
tensorcircuit,2023-08-14 05:55:45.963213 UTC
qcnpy,2021-05-28 13:34:16.216941 UTC
yaqq,2024-01-08 09:53:33.425902 UTC
ibm-quantum-widgets,2021-02-11 17:04:06.310177 UTC
qiskit-aqua,2018-11-29 20:54:40.263169 UTC
qiskit-symb,2024-02-26 17:50:37.756813 UTC
PennyLane-qiskit,2024-03-07 21:25:50.358921 UTC
QPE,2022-02-05 01:26:57.476708 UTC
qcrandom,2022-05-05 08:18:13.173996 UTC
deltalanguage,2021-06-02 10:08:54.288083 UTC
classiq-interface,2021-08-26 14:35:31.690344 UTC
fermioniq,2023-11-15 15:42:54.343364 UTC
graphiq,2024-02-17 16:20:07.756684 UTC
mthree,2024-02-09 18:09:36.658886 UTC
QuantumRNG,2021-09-10 17:11:13.213721 UTC
quito,2022-12-19 16:36:20.529561 UTC
zquantum-core,2021-03-24 12:19:40.059035 UTC
arline-quantum,2020-06-16 15:28:21.491817 UTC
graphix-ibmq,2023-11-05 07:10:58.126961 UTC
qisquick,2020-03-17 15:09:07.564902 UTC
evovaq,2023-11-21 17:28:28.913656 UTC
qat-compiler,2023-08-31 12:47:37.334218 UTC
qiskit-qasm3-import,2023-11-16 11:43:52.122689 UTC
quantestpy,2023-04-01 06:59:45.622577 UTC
qiskit-experiments,2024-02-08 04:51:46.871379 UTC
generic-qaoa,2022-10-15 21:29:00.568138 UTC
qiskit-quantier,2023-12-19 06:27:13.479460 UTC
plaquette-ibm-backend,2023-12-13 16:51:24.720722 UTC
qfast-qiskit,2020-12-07 16:35:16.905960 UTC
qucat-cover,2023-09-22 14:18:45.315051 UTC
NLP-Cryptography,2023-04-03 14:37:09.066103 UTC
vqc,2022-09-14 14:39:49.490024 UTC
qiskit-tensorflow,2020-12-24 22:10:36.992250 UTC
DROPStomo,2023-09-08 09:06:15.140360 UTC
kaleidoscope,2020-04-04 07:56:37.953385 UTC
qiskit-iqm,2024-02-27 10:09:00.498886 UTC
qiskit-transpiler-service,2024-02-29 16:40:26.130396 UTC
my-foo-pkg,2022-01-01 19:15:41.889686 UTC
prototype-zne,2024-02-06 14:12:46.413053 UTC
bandcalq,2023-01-08 11:54:08.339125 UTC
qmuvi,2023-05-28 10:25:43.783658 UTC
mqt.problemsolver,2024-01-18 14:30:42.176844 UTC
quantastica-qiskit-toaster,2020-06-29 00:28:33.137169 UTC
SeelmanQuantumLibrary,2022-08-07 20:50:26.681293 UTC
qlazy,2022-03-31 00:42:45.486709 UTC
qiskit-aws-braket-provider,2020-09-24 20:29:59.663551 UTC
test-pkg-WilliamCappelletti,2020-07-23 11:32:25.049810 UTC
qiskit-ignis-rb,2024-02-19 11:51:32.354058 UTC
qucat-cover-gpu,2023-09-22 14:34:06.794027 UTC
quantumflow,2023-05-28 16:48:11.579282 UTC
QuantumIntelligence,2023-06-03 00:32:58.167335 UTC
wonplat,2023-05-17 09:29:10.758182 UTC
qiskit-finance,2024-02-29 02:26:25.398919 UTC
polyadicqml,2020-07-23 16:04:54.853065 UTC
tensorcircuit-nightly,2024-03-13 12:37:32.221836 UTC
dc-qiskit-algorithms,2022-05-04 07:27:02.427638 UTC
mqt.bench,2022-10-03 18:34:19.100560 UTC
omniqubo,2023-03-10 23:40:57.793881 UTC
QvsPy,2022-04-01 09:43:00.254849 UTC
qpu,2020-05-29 19:59:32.675293 UTC
qiskit-jku-provider,2019-02-25 12:19:16.204827 UTC
amazon-braket-qrack-simulator,2024-02-25 22:54:37.140636 UTC
qiskit-braket-provider,2024-03-06 22:25:40.061284 UTC
qiskit-classroom-converter,2024-03-06 03:41:50.087339 UTC
pygrnd,2023-06-13 10:07:54.961040 UTC
qsee,2024-01-09 09:05:09.590154 UTC
cirq-superstaq,2023-03-16 18:10:11.373449 UTC
z-quantum-core,2021-03-25 16:31:00.406280 UTC
quantumseeding,2023-11-27 16:54:28.446030 UTC
qiskit2quafu,2023-11-14 08:58:40.126407 UTC
qiskit-quantum-knn,2020-12-22 09:20:41.038319 UTC
qiskit-dell-runtime,2023-12-14 21:31:53.410737 UTC
c12simulator-clients,2023-10-26 13:38:23.801607 UTC
haqc,2024-02-15 04:39:06.073018 UTC
qrbsgen,2023-03-13 22:17:29.515560 UTC
qiskit-qutree-cloud-provider,2023-02-08 00:36:36.393897 UTC
SupermarQ,2022-05-09 16:33:51.205033 UTC
HAQC,2024-01-19 01:06:10.293104 UTC
qatrah,2023-04-30 17:01:01.582803 UTC
htstabilizer,2024-02-18 09:34:47.832493 UTC
vqls-prototype,2023-11-03 09:08:55.044123 UTC
qctic,2021-05-31 08:16:12.144360 UTC
isqmap,2023-10-20 03:13:16.704111 UTC
squlearn,2023-06-06 12:40:52.981143 UTC
graphix,2023-11-29 13:57:04.803152 UTC
strangeworks-vqe,2023-07-18 10:56:43.529354 UTC
qiskit-rigetti,2024-02-07 20:38:52.771982 UTC
qusbt,2023-03-28 08:05:07.045856 UTC
UC-Quantum-tools,2022-11-01 17:25:29.096623 UTC
qiskit-aqt-provider,2024-02-20 17:49:17.056449 UTC
SeelmanQuantumRandom,2022-08-07 04:13:02.266594 UTC
gaqqie-rainbow,2022-02-27 20:59:08.632983 UTC
AQMLator,2023-12-05 01:02:41.127614 UTC
entanglement-forging,2022-09-19 18:58:31.395228 UTC
amazon-braket-qrack-cuda-simulator,2024-02-27 13:25:16.662096 UTC
qiskit-ibm-experiment,2024-02-05 18:06:26.756247 UTC
JaqalPaq-extras-dev,2023-02-27 23:07:52.240125 UTC
doddq,2023-05-09 15:13:26.732352 UTC
purplecaffeine,2023-09-19 01:08:00.983097 UTC
JaqalPaq-extras,2023-09-18 16:56:30.161150 UTC
simuq,2024-03-05 03:44:56.747572 UTC
fable-circuits,2023-08-16 16:41:02.859311 UTC
qclib,2024-02-18 05:19:21.593752 UTC
qc-qiskit,2022-02-08 14:45:10.520136 UTC
qokit,2023-12-28 01:04:32.363661 UTC
scikit-qlearn,2022-06-03 17:02:41.745018 UTC
cirq-unstable,2020-12-03 00:58:01.588415 UTC
OQI,2021-02-10 16:57:21.809656 UTC
qmeans,2023-03-06 16:16:33.932661 UTC
strangeworks-qiskit,2024-02-12 15:02:21.701143 UTC
strangeworks-qaoa,2023-07-25 18:11:34.606693 UTC
bosonic-qiskit,2024-03-04 18:47:05.882130 UTC
qcoptimizer,2022-07-05 20:32:39.333613 UTC
qiskit-trebugger,2023-08-22 16:20:04.132202 UTC
ingenii-quantum-hybrid-networks,2023-09-26 15:25:15.933703 UTC
qoai-qiskit,2023-03-29 20:54:41.003461 UTC
mitiq,2024-02-16 19:25:36.493977 UTC
nz-seqtech,2023-11-11 12:51:35.216754 UTC
qlearnkit,2022-01-12 22:44:01.072753 UTC
qiskit-ibm-provider,2024-02-20 23:00:06.530935 UTC
qiskit-dynamics,2024-02-02 22:03:58.209282 UTC
test-JaqalPaq-extras,2021-08-18 17:06:22.741481 UTC
cirq,2021-03-08 22:58:58.866999 UTC
qoi-qiskit,2023-03-11 07:27:33.199795 UTC
qiskit-hangyul,2023-07-12 07:18:56.612627 UTC
pytket-qiskit,2024-03-12 11:04:20.644374 UTC
c12-callisto-clients,2023-09-20 08:27:02.184178 UTC